Date,Open,High,Low,Close,Adj Close,Volume
2000-11-08,0.529500,0.529500,0.529500,0.529500,0.529500,0
2000-11-09,0.526200,0.526200,0.526200,0.526200,0.526200,1
2000-11-10,0.525000,0.525000,0.525000,0.525000,0.525000,1
2000-11-12,null,null,null,null,null,null
2000-11-13,0.523000,0.523000,0.522000,0.522000,0.522000,2
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,null,null,null,null,null,null
2000-11-17,0.523000,0.520100,0.520100,0.520900,0.520900,0
2000-11-19,null,null,null,null,null,null
2000-11-20,null,null,null,null,null,null
2000-11-21,null,null,null,null,null,null
2000-11-22,0.523000,0.512700,0.512700,0.529000,0.529000,0
2000-11-23,null,null,null,null,null,null
2000-11-24,0.523000,0.529000,0.529000,0.525400,0.525400,0
2000-11-26,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,0.523000,0.524000,0.524000,0.524000,0.524000,2
2000-11-29,null,null,null,null,null,null
2000-11-30,null,null,null,null,null,null
2000-12-01,0.524000,0.538000,0.538000,0.538000,0.538000,1
2000-12-03,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,null,null,null,null,null,null
2000-12-06,null,null,null,null,null,null
2000-12-07,null,null,null,null,null,null
2000-12-08,0.523000,0.548800,0.548800,0.547600,0.547600,0
2000-12-10,null,null,null,null,null,null
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,null,null,null,null,null,null
2000-12-15,0.523000,0.542800,0.542800,0.545100,0.545100,0
2000-12-17,null,null,null,null,null,null
2000-12-18,null,null,null,null,null,null
2000-12-19,null,null,null,null,null,null
2000-12-20,null,null,null,null,null,null
2000-12-21,null,null,null,null,null,null
2000-12-22,0.523000,0.556600,0.556600,0.556200,0.556200,0
2000-12-24,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,0.523000,0.555600,0.555600,0.559800,0.559800,0
2000-12-31,null,null,null,null,null,null
