Date,Open,High,Low,Close,Adj Close,Volume
2000-10-05,1.459000,1.463000,1.456000,1.457600,1.457600,17
2000-10-06,1.459000,1.453400,1.450000,1.451400,1.451400,19
2000-10-08,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,null,null,null,null,null,null
2000-10-11,null,null,null,null,null,null
2000-10-12,null,null,null,null,null,null
2000-10-13,1.459000,1.477200,1.459000,1.458600,1.458600,2
2000-10-15,null,null,null,null,null,null
2000-10-16,1.459000,1.460000,1.448000,1.458600,1.458600,2
2000-10-17,null,null,null,null,null,null
2000-10-18,1.459000,1.468000,1.446000,1.455800,1.455800,2
2000-10-19,1.459000,1.453000,1.447000,1.449400,1.449400,2
2000-10-20,1.459000,1.458000,1.448000,1.451600,1.451600,2
2000-10-22,null,null,null,null,null,null
2000-10-23,null,null,null,null,null,null
2000-10-24,null,null,null,null,null,null
2000-10-25,null,null,null,null,null,null
2000-10-26,null,null,null,null,null,null
2000-10-27,null,null,null,null,null,null
2000-10-29,null,null,null,null,null,null
2000-10-30,1.459000,1.465000,1.458000,1.460000,1.460000,2
2000-10-31,1.459000,1.461000,1.456000,1.455400,1.455400,2
2000-11-01,1.459000,1.458000,1.450000,1.455600,1.455600,2
2000-11-02,1.459000,1.458000,1.450000,1.455600,1.455600,2
2000-11-03,1.459000,1.457000,1.450000,1.452600,1.452600,2
2000-11-05,null,null,null,null,null,null
2000-11-06,null,null,null,null,null,null
2000-11-07,1.459000,1.442000,1.433000,1.436800,1.436800,2
2000-11-08,null,null,null,null,null,null
2000-11-09,1.459000,1.439000,1.424000,1.430400,1.430400,2
2000-11-10,1.459000,1.439600,1.436000,1.435000,1.435000,2
2000-11-12,null,null,null,null,null,null
2000-11-13,null,null,null,null,null,null
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,null,null,null,null,null,null
2000-11-17,null,null,null,null,null,null
2000-11-19,null,null,null,null,null,null
2000-11-20,null,null,null,null,null,null
2000-11-21,null,null,null,null,null,null
2000-11-22,1.435000,1.426600,1.416000,1.419600,1.419600,0
2000-11-23,null,null,null,null,null,null
2000-11-24,1.419600,1.419600,1.408000,1.409000,1.409000,0
2000-11-26,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,1.459000,1.430000,1.427000,1.427400,1.427400,0
2000-11-29,null,null,null,null,null,null
2000-11-30,1.459000,1.436000,1.423000,1.432400,1.432400,0
2000-12-01,null,null,null,null,null,null
2000-12-03,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,null,null,null,null,null,null
2000-12-06,null,null,null,null,null,null
2000-12-07,1.459000,1.454000,1.450000,1.450600,1.450600,0
2000-12-08,null,null,null,null,null,null
2000-12-10,null,null,null,null,null,null
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,null,null,null,null,null,null
2000-12-15,null,null,null,null,null,null
2000-12-17,null,null,null,null,null,null
2000-12-18,null,null,null,null,null,null
2000-12-19,null,null,null,null,null,null
2000-12-20,null,null,null,null,null,null
2000-12-21,null,null,null,null,null,null
2000-12-22,null,null,null,null,null,null
2000-12-24,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2000-12-31,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,null,null,null,null,null,null
2001-01-03,1.459000,1.510000,1.494000,1.501200,1.501200,0
2001-01-04,1.459000,1.500000,1.494000,1.500000,1.500000,0
2001-01-05,null,null,null,null,null,null
2001-01-07,null,null,null,null,null,null
2001-01-08,null,null,null,null,null,null
2001-01-09,1.459000,1.501000,1.485000,1.489000,1.489000,0
2001-01-10,null,null,null,null,null,null
2001-01-11,null,null,null,null,null,null
2001-01-12,1.459000,1.493000,1.475000,1.476600,1.476600,0
2001-01-14,null,null,null,null,null,null
2001-01-15,null,null,null,null,null,null
2001-01-16,null,null,null,null,null,null
2001-01-17,1.459000,1.476600,1.466000,1.468400,1.468400,0
2001-01-18,null,null,null,null,null,null
2001-01-19,null,null,null,null,null,null
2001-01-21,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,1.459000,1.458000,1.449000,1.456400,1.456400,0
2001-01-26,1.459000,1.457600,1.454000,1.457000,1.457000,0
2001-01-28,null,null,null,null,null,null
2001-01-29,1.457000,1.457600,1.454000,1.457000,1.457000,0
2001-01-30,null,null,null,null,null,null
2001-01-31,1.457000,1.462000,1.457000,1.460000,1.460000,0
2001-02-01,null,null,null,null,null,null
2001-02-02,1.460000,1.475800,1.462000,1.462800,1.462800,0
2001-02-04,null,null,null,null,null,null
2001-02-05,null,null,null,null,null,null
2001-02-06,null,null,null,null,null,null
2001-02-07,null,null,null,null,null,null
2001-02-08,null,null,null,null,null,null
2001-02-09,1.462800,1.445000,1.440000,1.441200,1.441200,0
2001-02-11,null,null,null,null,null,null
2001-02-12,1.447000,1.450000,1.440000,1.447000,1.447000,0
2001-02-13,null,null,null,null,null,null
2001-02-14,null,null,null,null,null,null
2001-02-15,null,null,null,null,null,null
2001-02-16,1.449000,1.452000,1.448000,1.450000,1.450000,2
2001-02-18,null,null,null,null,null,null
2001-02-19,null,null,null,null,null,null
2001-02-20,null,null,null,null,null,null
2001-02-21,1.449000,1.447000,1.436000,1.443400,1.443400,2
2001-02-22,null,null,null,null,null,null
2001-02-23,null,null,null,null,null,null
2001-02-25,null,null,null,null,null,null
2001-02-26,null,null,null,null,null,null
2001-02-27,null,null,null,null,null,null
2001-02-28,1.449000,1.443000,1.438000,1.439600,1.439600,0
2001-03-01,null,null,null,null,null,null
2001-03-02,null,null,null,null,null,null
2001-03-04,null,null,null,null,null,null
2001-03-05,null,null,null,null,null,null
2001-03-06,1.449000,1.464000,1.461000,1.463800,1.463800,2
2001-03-07,1.459000,1.464000,1.455000,1.459000,1.459000,2
2001-03-08,null,null,null,null,null,null
