Date,Open,High,Low,Close,Adj Close,Volume
2000-05-23,0.675800,0.675800,0.675800,0.672500,0.672500,1
2000-05-24,0.672500,0.673500,0.670700,0.670700,0.670700,4
2000-05-25,null,null,null,null,null,null
2000-05-26,0.672500,0.673200,0.673200,0.674100,0.674100,2
2000-05-28,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,null,null,null,null,null,null
2000-05-31,null,null,null,null,null,null
2000-06-01,null,null,null,null,null,null
2000-06-02,0.672500,0.679700,0.679700,0.685200,0.685200,0
2000-06-04,null,null,null,null,null,null
2000-06-05,null,null,null,null,null,null
2000-06-06,null,null,null,null,null,null
2000-06-07,null,null,null,null,null,null
2000-06-08,null,null,null,null,null,null
2000-06-09,0.672500,0.684300,0.684300,0.685700,0.685700,0
2000-06-11,null,null,null,null,null,null
2000-06-12,null,null,null,null,null,null
2000-06-13,0.689000,0.689000,0.689000,0.688700,0.688700,5
2000-06-14,null,null,null,null,null,null
2000-06-15,null,null,null,null,null,null
2000-06-16,0.689000,0.685600,0.685600,0.689600,0.689600,0
2000-06-18,null,null,null,null,null,null
2000-06-19,null,null,null,null,null,null
2000-06-20,null,null,null,null,null,null
2000-06-21,null,null,null,null,null,null
2000-06-22,null,null,null,null,null,null
2000-06-23,0.689000,0.684900,0.684900,0.681900,0.681900,0
2000-06-25,null,null,null,null,null,null
2000-06-26,null,null,null,null,null,null
2000-06-27,null,null,null,null,null,null
2000-06-28,null,null,null,null,null,null
2000-06-29,null,null,null,null,null,null
2000-06-30,0.689000,0.681900,0.681900,0.683000,0.683000,0
2000-07-02,null,null,null,null,null,null
2000-07-03,0.689000,0.683000,0.683000,0.683000,0.683000,0
2000-07-04,null,null,null,null,null,null
2000-07-05,null,null,null,null,null,null
2000-07-06,null,null,null,null,null,null
2000-07-07,0.689000,0.681100,0.681100,0.682700,0.682700,0
2000-07-09,null,null,null,null,null,null
2000-07-10,null,null,null,null,null,null
2000-07-11,null,null,null,null,null,null
2000-07-12,null,null,null,null,null,null
2000-07-13,null,null,null,null,null,null
2000-07-14,0.689000,0.683000,0.683000,0.682100,0.682100,0
2000-07-16,null,null,null,null,null,null
2000-07-17,null,null,null,null,null,null
2000-07-18,null,null,null,null,null,null
2000-07-19,null,null,null,null,null,null
2000-07-20,null,null,null,null,null,null
2000-07-21,0.689000,0.686600,0.686600,0.687200,0.687200,0
2000-07-23,null,null,null,null,null,null
2000-07-24,null,null,null,null,null,null
2000-07-25,null,null,null,null,null,null
2000-07-26,null,null,null,null,null,null
2000-07-27,0.687500,0.687500,0.687500,0.687000,0.687000,4
2000-07-28,0.687500,0.687000,0.687000,0.684800,0.684800,4
2000-07-30,null,null,null,null,null,null
2000-07-31,null,null,null,null,null,null
2000-08-01,null,null,null,null,null,null
