Date,Open,High,Low,Close,Adj Close,Volume
2000-09-12,0.878000,0.878000,0.873000,0.873000,0.873000,100
2000-09-13,0.876500,0.877100,0.875000,0.877100,0.877100,94
2000-09-14,null,null,null,null,null,null
2000-09-15,0.871500,0.871500,0.871500,0.871500,0.871500,80
2000-09-17,null,null,null,null,null,null
2000-09-18,0.871500,0.871500,0.867500,0.867500,0.867500,110
2000-09-19,0.871500,0.869300,0.863500,0.866500,0.866500,110
2000-09-20,0.871500,0.869300,0.859500,0.862500,0.862500,110
2000-09-21,0.871500,0.872000,0.859500,0.870000,0.870000,110
2000-09-22,0.901500,0.901500,0.893500,0.901500,0.901500,100
2000-09-24,null,null,null,null,null,null
2000-09-25,0.901500,0.901500,0.886500,0.888500,0.888500,100
2000-09-26,0.901500,0.894000,0.886500,0.894000,0.894000,100
2000-09-27,0.901500,0.897500,0.894000,0.895900,0.895900,100
2000-09-28,0.901500,0.898000,0.897000,0.897000,0.897000,0
2000-09-29,0.897000,0.896500,0.890000,0.895300,0.895300,0
2000-10-01,null,null,null,null,null,null
2000-10-02,0.895300,0.896500,0.893500,0.893500,0.893500,0
2000-10-03,0.893500,0.896500,0.888000,0.888000,0.888000,0
2000-10-04,0.889000,0.889000,0.887000,0.889000,0.889000,5
2000-10-05,0.889000,0.889000,0.888000,0.888000,0.888000,5
2000-10-06,0.882500,0.883000,0.881000,0.880800,0.880800,1
2000-10-08,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,0.882500,0.884000,0.880800,0.884000,0.884000,1
2000-10-11,0.882500,0.884200,0.882500,0.884200,0.884200,1
2000-10-12,0.882500,0.884200,0.875500,0.875500,0.875500,0
2000-10-13,0.882500,0.884200,0.867500,0.867500,0.867500,0
2000-10-15,null,null,null,null,null,null
2000-10-16,0.861000,0.861500,0.861000,0.861000,0.861000,36
2000-10-17,0.861000,0.866000,0.861000,0.866000,0.866000,36
2000-10-18,0.844500,0.849500,0.844500,0.845000,0.845000,42
2000-10-19,0.844500,0.854500,0.844500,0.854500,0.854500,44
2000-10-20,0.850000,0.853200,0.850000,0.850000,0.850000,8
2000-10-22,null,null,null,null,null,null
2000-10-23,0.850000,0.852800,0.850000,0.852800,0.852800,8
2000-10-24,0.850000,0.850000,0.845000,0.847000,0.847000,8
2000-10-25,0.840000,0.840000,0.838000,0.838000,0.838000,8
2000-10-26,0.840000,0.840000,0.837700,0.837700,0.837700,3
2000-10-27,0.840000,0.851300,0.840000,0.851300,0.851300,3
2000-10-29,null,null,null,null,null,null
2000-10-30,0.853000,0.853000,0.853000,0.853000,0.853000,3
2000-10-31,0.859000,0.859500,0.858500,0.858600,0.858600,3
2000-11-01,0.871000,0.871000,0.859000,0.859300,0.859300,3
2000-11-02,0.871200,0.871200,0.871200,0.871200,0.871200,3
2000-11-03,0.875000,0.876000,0.875000,0.875000,0.875000,0
2000-11-05,null,null,null,null,null,null
2000-11-06,0.840000,0.876000,0.867000,0.869700,0.869700,0
2000-11-07,0.840000,0.872000,0.869700,0.871000,0.871000,0
2000-11-08,0.840000,0.872000,0.865500,0.865500,0.865500,0
2000-11-09,0.840000,0.873500,0.865500,0.873500,0.873500,0
2000-11-10,0.840000,0.873500,0.873000,0.873000,0.873000,0
2000-11-12,null,null,null,null,null,null
2000-11-13,0.871600,0.871600,0.871600,0.871600,0.871600,0
2000-11-14,0.840000,0.868500,0.868500,0.868500,0.868500,0
2000-11-15,0.869000,0.869500,0.867000,0.867100,0.867100,0
2000-11-16,0.868200,0.868200,0.868200,0.868200,0.868200,0
2000-11-17,0.840000,0.868200,0.859500,0.859500,0.859500,0
2000-11-19,null,null,null,null,null,null
2000-11-20,0.840000,0.858500,0.858500,0.858500,0.858500,0
2000-11-21,0.859500,0.859500,0.853700,0.856000,0.856000,21
