Date,Open,High,Low,Close,Adj Close,Volume
2000-09-13,0.009950,0.009950,0.009940,0.009940,0.009940,154
2000-09-14,null,null,null,null,null,null
2000-09-15,0.009920,0.009920,0.009920,0.009920,0.009920,34
2000-09-17,null,null,null,null,null,null
2000-09-18,null,null,null,null,null,null
2000-09-19,null,null,null,null,null,null
2000-09-20,null,null,null,null,null,null
2000-09-21,null,null,null,null,null,null
2000-09-22,0.009920,0.009951,0.009951,0.009820,0.009820,0
2000-09-24,null,null,null,null,null,null
2000-09-25,null,null,null,null,null,null
2000-09-26,null,null,null,null,null,null
2000-09-27,null,null,null,null,null,null
2000-09-28,null,null,null,null,null,null
2000-09-29,0.009820,0.009858,0.009858,0.009805,0.009805,0
2000-10-01,null,null,null,null,null,null
2000-10-02,null,null,null,null,null,null
2000-10-03,null,null,null,null,null,null
2000-10-04,null,null,null,null,null,null
2000-10-05,null,null,null,null,null,null
2000-10-06,0.009805,0.009704,0.009704,0.009731,0.009731,0
2000-10-08,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,0.009800,0.009800,0.009800,0.009800,0.009800,1
2000-10-11,null,null,null,null,null,null
2000-10-12,null,null,null,null,null,null
2000-10-13,0.009800,0.009835,0.009835,0.009808,0.009808,0
2000-10-15,null,null,null,null,null,null
2000-10-16,null,null,null,null,null,null
2000-10-17,null,null,null,null,null,null
2000-10-18,null,null,null,null,null,null
2000-10-19,null,null,null,null,null,null
2000-10-20,null,null,null,null,null,null
2000-10-22,null,null,null,null,null,null
2000-10-23,null,null,null,null,null,null
2000-10-24,null,null,null,null,null,null
2000-10-25,null,null,null,null,null,null
2000-10-26,null,null,null,null,null,null
2000-10-27,0.009808,0.009733,0.009733,0.009711,0.009711,0
2000-10-29,null,null,null,null,null,null
2000-10-30,null,null,null,null,null,null
2000-10-31,null,null,null,null,null,null
2000-11-01,null,null,null,null,null,null
2000-11-02,null,null,null,null,null,null
2000-11-03,0.009800,0.009736,0.009736,0.009848,0.009848,0
2000-11-05,null,null,null,null,null,null
2000-11-06,null,null,null,null,null,null
2000-11-07,null,null,null,null,null,null
2000-11-08,null,null,null,null,null,null
2000-11-09,null,null,null,null,null,null
2000-11-10,0.009848,0.009797,0.009797,0.009749,0.009749,0
2000-11-12,null,null,null,null,null,null
2000-11-13,null,null,null,null,null,null
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,null,null,null,null,null,null
2000-11-17,0.009749,0.009642,0.009642,0.009651,0.009651,0
2000-11-19,null,null,null,null,null,null
