Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,1.118800,1.118800,1.118700,1.118800,1.118800,15
2019-12-20,1.117800,1.118600,1.113100,1.114000,1.114000,515748
2019-12-22,1.114000,1.114200,1.114000,1.114100,1.114100,9
2019-12-23,1.114600,1.115900,1.114600,1.115500,1.115500,135676
2019-12-24,null,null,null,null,null,null
2019-12-26,1.115200,1.117200,1.114400,1.116100,1.116100,170910
2019-12-27,1.118200,1.124700,1.117800,1.123700,1.123700,1282860
2019-12-29,1.123700,1.124100,1.123500,1.123800,1.123800,4285
2019-12-30,1.125000,1.127400,1.123500,1.125700,1.125700,733005
2019-12-31,1.125600,1.129500,1.125600,1.126300,1.126300,497227
2020-01-02,1.125200,1.126500,1.121300,1.122100,1.122100,977793
2020-01-03,1.121900,1.123300,1.117400,1.120500,1.120500,875573
2020-01-05,1.120800,1.121600,1.120800,1.121000,1.121000,1440
2020-01-06,1.121400,1.125500,1.120600,1.124400,1.124400,694920
2020-01-07,1.123900,1.124000,1.118100,1.119500,1.119500,848211
2020-01-08,1.119400,1.120100,1.114900,1.115700,1.115700,1212193
2020-01-09,1.116000,1.116500,1.113800,1.115300,1.115300,640377
2020-01-10,1.115300,1.117300,1.112800,1.116500,1.116500,787182
2020-01-12,1.116100,1.116200,1.115900,1.116000,1.116000,771
2020-01-13,1.117000,1.119100,1.115700,1.117900,1.117900,540668
2020-01-14,1.118000,1.118700,1.114600,1.116900,1.116900,534932
2020-01-15,1.117400,1.120600,1.116100,1.119100,1.119100,606918
2020-01-16,1.119000,1.121200,1.116600,1.117500,1.117500,640322
2020-01-17,1.117300,1.118000,1.112300,1.112900,1.112900,560760
2020-01-19,1.112800,1.113300,1.112200,1.113300,1.113300,2048
2020-01-21,1.113600,1.115600,1.111800,1.112200,1.112200,1494986
2020-01-22,1.111900,1.113500,1.110700,1.113000,1.113000,609520
2020-01-23,1.112000,1.114100,1.107100,1.108800,1.108800,1019771
2020-01-24,1.108300,1.109700,1.105200,1.106000,1.106000,683450
2020-01-26,1.106200,1.106700,1.105900,1.105900,1.105900,1155
2020-01-27,1.106000,1.107100,1.104300,1.105200,1.105200,512047
2020-01-28,1.105300,1.105500,1.103000,1.105400,1.105400,410128
2020-01-29,1.104400,1.105200,1.102300,1.104600,1.104600,468069
2020-01-30,1.104600,1.106800,1.103700,1.105900,1.105900,539577
2020-01-31,1.105300,1.112500,1.104600,1.112400,1.112400,702291
2020-02-02,1.111600,1.111900,1.111500,1.111700,1.111700,694
2020-02-03,1.111000,1.111400,1.106100,1.109000,1.109000,571040
