Date,Open,High,Low,Close,Adj Close,Volume
2009-03-20,0.683100,0.683100,0.683100,0.683100,0.683100,0
2009-03-22,null,null,null,null,null,null
2009-03-23,0.699500,0.699500,0.699500,0.699500,0.699500,392
2009-03-24,0.699800,0.705700,0.691300,0.696300,0.696300,588
2009-03-25,0.694200,0.701500,0.689500,0.690200,0.690200,616
2009-03-26,0.699500,0.700900,0.694400,0.697700,0.697700,196
2009-03-27,0.691100,0.699600,0.683500,0.688600,0.688600,316
2009-03-29,null,null,null,null,null,null
2009-03-30,0.686500,0.688900,0.674000,0.675000,0.675000,319
2009-03-31,0.678300,0.693200,0.675900,0.692400,0.692400,665
2009-04-01,0.687600,0.696200,0.682500,0.694100,0.694100,296
2009-04-02,0.704000,0.716500,0.694600,0.712400,0.712400,740
2009-04-03,0.713300,0.719500,0.702700,0.713900,0.713900,1136
2009-04-05,null,null,null,null,null,null
2009-04-06,0.717500,0.717600,0.705000,0.708300,0.708300,564
2009-04-07,0.708800,0.713700,0.701800,0.708300,0.708300,330
2009-04-08,0.706700,0.709800,0.700400,0.705100,0.705100,211
2009-04-09,0.705200,0.717200,0.702700,0.714200,0.714200,255
2009-04-12,null,null,null,null,null,null
2009-04-13,0.717300,0.727200,0.715800,0.726800,0.726800,63
2009-04-14,0.723000,0.723000,0.723000,0.723000,0.723000,132
2009-04-15,0.720400,0.724700,0.712000,0.719400,0.719400,655
2009-04-16,0.728000,0.728500,0.711100,0.716200,0.716200,1111
2009-04-17,0.718200,0.720000,0.714100,0.716800,0.716800,266
2009-04-19,null,null,null,null,null,null
2009-04-20,0.718100,0.720900,0.693200,0.694400,0.694400,1019
2009-04-21,0.699000,0.710300,0.694600,0.707300,0.707300,587
2009-04-22,0.704000,0.709100,0.697800,0.708400,0.708400,573
2009-04-23,0.705200,0.712500,0.700800,0.710400,0.710400,864
2009-04-24,0.711600,0.721000,0.708500,0.719800,0.719800,337
2009-04-26,null,null,null,null,null,null
2009-04-27,0.716700,0.717200,0.706600,0.708600,0.708600,420
2009-04-28,0.707200,0.707800,0.697000,0.705200,0.705200,390
2009-04-29,0.709000,0.727700,0.703300,0.726700,0.726700,494
2009-04-30,0.722500,0.736400,0.721200,0.727300,0.727300,581
2009-05-01,0.723600,0.732300,0.722300,0.728400,0.728400,236
2009-05-03,null,null,null,null,null,null
2009-05-04,0.732000,0.739000,0.729300,0.735700,0.735700,294
2009-05-05,0.738000,0.745700,0.735900,0.739200,0.739200,548
2009-05-06,0.739400,0.748100,0.731700,0.747000,0.747000,575
2009-05-07,0.744900,0.759400,0.744100,0.750400,0.750400,1474
2009-05-08,0.752300,0.768800,0.749000,0.767500,0.767500,372
2009-05-10,null,null,null,null,null,null
2009-05-11,0.766500,0.768200,0.756500,0.759300,0.759300,71
2009-05-12,0.757700,0.766200,0.754600,0.763200,0.763200,1358
2009-05-13,0.768000,0.768400,0.750200,0.752300,0.752300,237
