Date,Open,High,Low,Close,Adj Close,Volume
2009-03-20,1.444000,1.444000,1.444000,1.444000,1.444000,0
2009-03-22,null,null,null,null,null,null
2009-03-23,1.455400,1.455400,1.455400,1.455400,1.455400,140
2009-03-24,1.476400,1.477500,1.455600,1.472400,1.472400,900
2009-03-25,1.459400,1.474300,1.451900,1.453100,1.453100,1609
2009-03-26,1.458000,1.463800,1.442700,1.443900,1.443900,2650
2009-03-27,1.447500,1.449300,1.427300,1.430600,1.430600,799
2009-03-29,null,null,null,null,null,null
2009-03-30,1.415900,1.426000,1.411500,1.419900,1.419900,929
2009-03-31,1.428600,1.437400,1.424700,1.434800,1.434800,1794
2009-04-01,1.431300,1.444800,1.427800,1.444600,1.444600,1750
2009-04-02,1.446500,1.475200,1.445800,1.471200,1.471200,3126
2009-04-03,1.472400,1.484600,1.465400,1.482500,1.482500,1493
2009-04-05,null,null,null,null,null,null
2009-04-06,1.489200,1.496000,1.467300,1.472600,1.472600,987
2009-04-07,1.473300,1.477700,1.458600,1.472800,1.472800,707
2009-04-08,1.473900,1.474800,1.463800,1.468500,1.468500,510
2009-04-09,1.472800,1.477700,1.458700,1.463200,1.463200,917
2009-04-12,null,null,null,null,null,null
2009-04-13,1.465900,1.486900,1.461000,1.483200,1.483200,706
2009-04-14,1.485200,1.494400,1.482800,1.492700,1.492700,226
2009-04-15,1.489000,1.503700,1.482600,1.496000,1.496000,1248
2009-04-16,1.501300,1.506700,1.484100,1.492200,1.492200,1120
2009-04-17,1.488000,1.494000,1.475600,1.479100,1.479100,872
2009-04-19,null,null,null,null,null,null
2009-04-20,1.470700,1.480900,1.449800,1.454300,1.454300,257
2009-04-21,1.452300,1.470800,1.446900,1.466500,1.466500,1465
2009-04-22,1.467500,1.468400,1.439900,1.450300,1.450300,2871
2009-04-23,1.448500,1.469600,1.444500,1.469400,1.469400,2203
2009-04-24,1.471500,1.477300,1.457600,1.466900,1.466900,1630
2009-04-26,null,null,null,null,null,null
2009-04-27,1.462700,1.469300,1.451600,1.463600,1.463600,1584
2009-04-28,1.461300,1.469000,1.451900,1.462000,1.462000,723
2009-04-29,1.462700,1.481300,1.461900,1.476700,1.476700,719
2009-04-30,1.475200,1.494900,1.470300,1.482000,1.482000,2292
2009-05-01,1.481700,1.493200,1.476000,1.492200,1.492200,624
2009-05-03,null,null,null,null,null,null
2009-05-04,1.494800,1.500900,1.483400,1.496100,1.496100,457
2009-05-05,1.503000,1.516100,1.498500,1.506900,1.506900,874
2009-05-06,1.505500,1.514500,1.499500,1.513100,1.513100,1880
2009-05-07,1.514600,1.519300,1.494400,1.499300,1.499300,141
2009-05-08,1.503500,1.524300,1.497000,1.521500,1.521500,261
2009-05-10,null,null,null,null,null,null
2009-05-11,1.519800,1.524300,1.507000,1.513300,1.513300,210
2009-05-12,1.510700,1.534800,1.507400,1.527100,1.527100,938
2009-05-13,1.530200,1.533100,1.508600,1.516800,1.516800,960
2009-05-14,1.513000,1.524600,1.506100,1.523000,1.523000,279
2009-05-15,1.521500,1.528500,1.513500,1.515900,1.515900,449
2009-05-17,null,null,null,null,null,null
2009-05-18,1.517300,1.533400,1.511900,1.531600,1.531600,464
2009-05-19,1.534000,1.552000,1.529600,1.551100,1.551100,681
2009-05-20,1.547600,1.579000,1.545200,1.577600,1.577600,1661
2009-05-21,1.574200,1.588700,1.551600,1.583700,1.583700,2378
2009-05-22,1.584700,1.594200,1.575900,1.591700,1.591700,1508
2009-05-24,null,null,null,null,null,null
2009-05-26,1.587000,1.596800,1.577800,1.592500,1.592500,1889
2009-05-27,1.597900,1.608200,1.592900,1.604500,1.604500,2000
2009-05-28,1.595600,1.601300,1.585600,1.595100,1.595100,2143
2009-05-29,1.597100,1.619700,1.592100,1.613800,1.613800,2035
2009-05-31,null,null,null,null,null,null
2009-06-01,1.617900,1.649800,1.616400,1.644500,1.644500,779
2009-06-02,1.641200,1.658800,1.632800,1.657400,1.657400,1136
2009-06-03,1.658600,1.666000,1.624300,1.627700,1.627700,1267
2009-06-04,1.631300,1.643200,1.608700,1.619300,1.619300,2689
2009-06-05,1.611700,1.623900,1.594000,1.597500,1.597500,2112
2009-06-07,null,null,null,null,null,null
2009-06-08,1.592700,1.610100,1.580500,1.604600,1.604600,741
2009-06-09,1.608000,1.635800,1.599200,1.633400,1.633400,1209
2009-06-10,1.632000,1.647300,1.624200,1.630800,1.630800,834
2009-06-11,1.635500,1.662100,1.634900,1.659000,1.659000,756
2009-06-12,1.645100,1.652100,1.633100,1.645300,1.645300,346
2009-06-14,null,null,null,null,null,null
2009-06-15,1.636200,1.632200,1.632200,1.636200,1.636200,1125
2009-06-16,1.623400,1.650200,1.621300,1.643300,1.643300,242
2009-06-17,1.636200,1.647000,1.622300,1.642500,1.642500,447
2009-06-18,1.640300,1.646800,1.618400,1.634800,1.634800,578
2009-06-19,1.633100,1.655700,1.630900,1.651300,1.651300,329
2009-06-21,null,null,null,null,null,null
2009-06-22,1.642900,1.650600,1.631800,1.634200,1.634200,165
2009-06-23,1.634000,1.646800,1.621200,1.645200,1.645200,389
2009-06-24,1.643900,1.659600,1.637000,1.641000,1.641000,482
2009-06-25,1.643200,1.646400,1.623100,1.637000,1.637000,946
2009-06-26,1.643400,1.655600,1.637500,1.652700,1.652700,410
2009-06-28,null,null,null,null,null,null
2009-06-29,1.648700,1.657800,1.642900,1.657200,1.657200,128
2009-06-30,1.657200,1.673900,1.642200,1.646300,1.646300,608
2009-07-01,1.646700,1.654400,1.638300,1.647400,1.647400,269
2009-07-02,1.649400,1.649600,1.632300,1.642000,1.642000,237
2009-07-05,null,null,null,null,null,null
2009-07-06,1.629900,1.632200,1.609200,1.624900,1.624900,395
2009-07-07,1.627300,1.629600,1.611600,1.614900,1.614900,523
2009-07-08,1.609100,1.613400,1.598300,1.602500,1.602500,621
2009-07-09,1.604000,1.637800,1.602800,1.635700,1.635700,1266
2009-07-10,1.633400,1.633700,1.615400,1.618900,1.618900,635
2009-07-12,null,null,null,null,null,null
2009-07-13,1.620800,1.623000,1.603200,1.620500,1.620500,584
2009-07-14,1.624900,1.634200,1.622700,1.627500,1.627500,662
2009-07-15,1.631500,1.646600,1.630200,1.642400,1.642400,676
2009-07-16,1.642300,1.647600,1.635600,1.645200,1.645200,540
2009-07-17,1.641300,1.641700,1.626400,1.637800,1.637800,348
2009-07-19,null,null,null,null,null,null
2009-07-20,1.638100,1.655500,1.633200,1.653200,1.653200,471
2009-07-21,1.652500,1.654800,1.638500,1.643200,1.643200,642
2009-07-22,1.645700,1.650400,1.630900,1.646200,1.646200,377
2009-07-23,1.643800,1.658200,1.643400,1.651800,1.651800,516
2009-07-24,1.647700,1.653500,1.639300,1.643000,1.643000,328
2009-07-26,null,null,null,null,null,null
2009-07-27,1.645300,1.651000,1.638400,1.649700,1.649700,505
2009-07-28,1.648100,1.655200,1.639100,1.643600,1.643600,419
2009-07-29,1.641900,1.646400,1.634800,1.635600,1.635600,590
2009-07-30,1.637700,1.653100,1.634600,1.648900,1.648900,533
2009-07-31,1.651200,1.672900,1.647400,1.668700,1.668700,1710
2009-08-02,null,null,null,null,null,null
2009-08-03,1.669400,1.698300,1.669400,1.691900,1.691900,605
2009-08-04,1.692500,1.700400,1.689000,1.692000,1.692000,936
2009-08-05,1.693700,1.705200,1.690300,1.701800,1.701800,466
2009-08-06,1.699900,1.702500,1.675200,1.677400,1.677400,465
2009-08-07,1.678100,1.683300,1.664400,1.666400,1.666400,544
2009-08-09,null,null,null,null,null,null
2009-08-10,1.669000,1.671500,1.643100,1.646000,1.646000,703
2009-08-11,1.650100,1.651800,1.643400,1.647300,1.647300,552
2009-08-12,1.650200,1.655700,1.639200,1.651700,1.651700,1232
2009-08-13,1.650600,1.667300,1.648700,1.655400,1.655400,1088
2009-08-14,1.656200,1.660600,1.648400,1.650200,1.650200,399
2009-08-16,null,null,null,null,null,null
2009-08-17,1.649500,1.651200,1.627800,1.633800,1.633800,319
2009-08-18,1.634500,1.658200,1.632800,1.656900,1.656900,536
2009-08-19,1.652000,1.659000,1.637800,1.654200,1.654200,582
2009-08-20,1.654300,1.660300,1.645400,1.650600,1.650600,225
2009-08-21,1.648700,1.662800,1.642100,1.648000,1.648000,753
2009-08-23,null,null,null,null,null,null
2009-08-24,1.652000,1.654100,1.639400,1.639500,1.639500,230
2009-08-25,1.640000,1.644100,1.633200,1.634400,1.634400,413
2009-08-26,1.632400,1.634800,1.616100,1.623700,1.623700,452
2009-08-27,1.622500,1.629600,1.615700,1.628500,1.628500,333
2009-08-28,1.627500,1.638100,1.625800,1.626900,1.626900,388
2009-08-30,null,null,null,null,null,null
2009-08-31,1.623100,1.632700,1.618600,1.626600,1.626600,223
2009-09-01,1.628000,1.637100,1.611300,1.616300,1.616300,670
2009-09-02,1.612700,1.629500,1.611700,1.627800,1.627800,83
2009-09-03,1.626100,1.641000,1.624400,1.632000,1.632000,89
2009-09-04,1.633500,1.640900,1.629000,1.639800,1.639800,89
2009-09-06,null,null,null,null,null,null
2009-09-08,1.641200,1.658500,1.632900,1.648600,1.648600,297
2009-09-09,1.650500,1.659100,1.645700,1.653100,1.653100,408
2009-09-10,1.655500,1.668500,1.648600,1.666400,1.666400,122
2009-09-11,1.670000,1.675100,1.666200,1.668900,1.668900,55
2009-09-13,null,null,null,null,null,null
2009-09-14,1.653600,1.660200,1.652600,1.657900,1.657900,182
2009-09-15,1.661300,1.665700,1.640500,1.649000,1.649000,567
2009-09-16,1.649300,1.653200,1.643700,1.649200,1.649200,607
2009-09-17,1.649700,1.656300,1.643000,1.644700,1.644700,247
2009-09-18,1.643000,1.643000,1.623200,1.627100,1.627100,736
2009-09-20,null,null,null,null,null,null
2009-09-21,1.623400,1.626000,1.613600,1.619200,1.619200,327
2009-09-22,1.623100,1.639300,1.622100,1.635000,1.635000,702
2009-09-23,1.636600,1.646600,1.633200,1.641600,1.641600,684
2009-09-24,1.635200,1.638100,1.602500,1.606000,1.606000,893
2009-09-25,1.601000,1.604200,1.591900,1.593700,1.593700,1739
2009-09-27,null,null,null,null,null,null
2009-09-28,1.584500,1.592200,1.577000,1.586800,1.586800,919
2009-09-29,1.590600,1.598400,1.582500,1.593800,1.593800,1763
2009-09-30,1.599000,1.612100,1.594400,1.600200,1.600200,1568
2009-10-01,1.596100,1.601900,1.592600,1.594600,1.594600,700
2009-10-02,1.589500,1.595000,1.580200,1.591400,1.591400,1335
2009-10-04,null,null,null,null,null,null
2009-10-05,1.596700,1.602000,1.590200,1.593700,1.593700,989
2009-10-06,1.594900,1.604300,1.587500,1.590800,1.590800,1008
2009-10-07,1.594000,1.596600,1.585500,1.593200,1.593200,476
2009-10-08,1.595900,1.611500,1.594900,1.606200,1.606200,1323
2009-10-09,1.604000,1.606600,1.582500,1.583200,1.583200,1452
2009-10-11,null,null,null,null,null,null
2009-10-12,1.582100,1.584800,1.572900,1.578800,1.578800,789
2009-10-13,1.580000,1.592300,1.570400,1.588800,1.588800,1175
2009-10-14,1.592400,1.601800,1.589900,1.596400,1.596400,1185
2009-10-15,1.600000,1.629300,1.599000,1.626300,1.626300,571
2009-10-16,1.626200,1.639300,1.625000,1.635100,1.635100,450
2009-10-18,null,null,null,null,null,null
2009-10-19,1.635300,1.642800,1.623800,1.636600,1.636600,727
2009-10-20,1.640200,1.648500,1.632600,1.635300,1.635300,602
2009-10-21,1.636300,1.663000,1.634400,1.663100,1.663100,2575
2009-10-22,1.662500,1.663200,1.648400,1.661800,1.661800,934
2009-10-23,1.667000,1.668700,1.629600,1.630600,1.630600,1776
2009-10-25,null,null,null,null,null,null
2009-10-26,1.630500,1.639000,1.624900,1.629900,1.629900,770
2009-10-27,1.631300,1.643400,1.628300,1.638200,1.638200,1092
2009-10-28,1.637900,1.646100,1.628300,1.640600,1.640600,1107
2009-10-29,1.639300,1.660000,1.633800,1.654400,1.654400,1460
2009-10-30,1.655000,1.657200,1.641100,1.644200,1.644200,1671
2009-11-01,null,null,null,null,null,null
2009-11-02,1.642300,1.647600,1.632700,1.638300,1.638300,1346
2009-11-03,1.639600,1.645300,1.626100,1.639800,1.639800,1141
2009-11-04,1.641900,1.659300,1.639900,1.658900,1.658900,1449
2009-11-05,1.655100,1.663000,1.646400,1.658200,1.658200,1628
2009-11-06,1.656600,1.663100,1.651600,1.659700,1.659700,1239
2009-11-08,null,null,null,null,null,null
2009-11-09,1.663100,1.683700,1.662100,1.674900,1.674900,692
2009-11-10,1.677700,1.678100,1.659900,1.673400,1.673400,895
2009-11-11,1.674300,1.677800,1.653400,1.655300,1.655300,1818
2009-11-12,1.651000,1.662100,1.651000,1.656700,1.656700,815
2009-11-13,1.658000,1.670200,1.657300,1.667100,1.667100,572
2009-11-15,null,null,null,null,null,null
2009-11-16,1.669900,1.687400,1.666800,1.683400,1.683400,444
2009-11-17,1.683000,1.686800,1.675300,1.679300,1.679300,440
2009-11-18,1.682200,1.684100,1.671500,1.671500,1.671500,394
2009-11-19,1.671200,1.674000,1.645600,1.664400,1.664400,305
2009-11-20,1.666100,1.667400,1.645600,1.648000,1.648000,354
2009-11-22,null,null,null,null,null,null
2009-11-23,1.648000,1.664500,1.648000,1.661800,1.661800,301
2009-11-24,1.664000,1.695900,1.649500,1.658900,1.658900,680
2009-11-25,1.659000,1.674200,1.658100,1.671300,1.671300,680
2009-11-27,null,null,null,null,null,null
2009-11-29,null,null,null,null,null,null
2009-11-30,1.648500,1.659100,1.638000,1.642200,1.642200,424
2009-12-01,1.644700,1.664600,1.639000,1.663900,1.663900,998
2009-12-02,1.660500,1.669500,1.655100,1.664000,1.664000,391
2009-12-03,1.665400,1.672000,1.653600,1.656400,1.656400,349
2009-12-04,1.654800,1.666400,1.642200,1.642700,1.642700,527
2009-12-06,null,null,null,null,null,null
2009-12-07,1.647300,1.651200,1.631600,1.643900,1.643900,616
2009-12-08,1.646200,1.647400,1.625600,1.625900,1.625900,1362
2009-12-09,1.627000,1.636800,1.616900,1.624400,1.624400,893
2009-12-10,1.631500,1.632000,1.621600,1.626400,1.626400,450
2009-12-11,1.628100,1.632600,1.620100,1.624000,1.624000,208
2009-12-13,null,null,null,null,null,null
2009-12-14,1.623000,1.625800,1.619900,1.624200,1.624200,286
2009-12-15,1.629900,1.630800,1.619900,1.624700,1.624700,5861
2009-12-16,1.625400,1.640100,1.622500,1.630100,1.630100,676
2009-12-17,1.632400,1.633200,1.607300,1.614600,1.614600,783
2009-12-18,1.612400,1.624400,1.604600,1.611100,1.611100,623
2009-12-20,null,null,null,null,null,null
2009-12-21,1.613000,1.615300,1.603100,1.604500,1.604500,365
2009-12-22,1.604000,1.608900,1.591500,1.596000,1.596000,267
2009-12-23,1.596300,1.598500,1.592000,1.594400,1.594400,204
2009-12-24,null,null,null,null,null,null
2009-12-27,null,null,null,null,null,null
2009-12-28,1.594800,1.600500,1.592600,1.599400,1.599400,86
2009-12-29,1.598800,1.606100,1.586000,1.589700,1.589700,462
2009-12-30,1.586000,1.608800,1.583000,1.606100,1.606100,426
2009-12-31,1.607300,1.622400,1.607300,1.614600,1.614600,77
2010-01-03,null,null,null,null,null,null
2010-01-04,1.612100,1.623200,1.605400,1.608500,1.608500,314
2010-01-05,1.611500,1.614500,1.596000,1.599200,1.599200,225
2010-01-06,1.598000,1.605500,1.593300,1.599200,1.599200,332
2010-01-07,1.600500,1.604900,1.589200,1.593500,1.593500,315
2010-01-08,1.592400,1.610200,1.591200,1.602700,1.602700,484
2010-01-10,null,null,null,null,null,null
2010-01-11,1.606000,1.618500,1.606000,1.609400,1.609400,289
2010-01-12,1.610200,1.618600,1.605800,1.617100,1.617100,217
