Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,2947.500000,2947.500000,2947.500000,2947.500000,2947.500000,159243
2019-05-05,null,null,null,null,null,null
2019-05-06,2947.500000,2947.500000,2883.750000,2932.500000,2932.500000,159243
2019-05-07,2912.000000,2930.750000,2862.500000,2890.750000,2890.750000,246925
2019-05-08,2890.250000,2899.250000,2868.750000,2887.250000,2887.250000,254506
2019-05-09,2884.250000,2885.500000,2836.250000,2872.750000,2872.750000,340659
2019-05-10,2870.250000,2893.000000,2826.000000,2887.000000,2887.000000,396057
2019-05-12,null,null,null,null,null,null
2019-05-13,2881.250000,2881.250000,2801.750000,2807.000000,2807.000000,383783
2019-05-14,2806.750000,2854.000000,2799.500000,2839.250000,2839.250000,181543
2019-05-15,2840.000000,2860.000000,2815.000000,2855.000000,2855.000000,217593
2019-05-16,2854.250000,2894.250000,2840.500000,2878.500000,2878.500000,220248
2019-05-17,2879.250000,2887.750000,2852.500000,2862.000000,2862.000000,302279
2019-05-19,null,null,null,null,null,null
2019-05-20,2861.500000,2876.750000,2832.250000,2844.000000,2844.000000,263910
2019-05-21,2847.500000,2870.750000,2846.500000,2866.000000,2866.000000,158252
2019-05-22,2864.750000,2869.750000,2848.500000,2857.500000,2857.500000,176205
2019-05-23,2856.750000,2858.500000,2805.500000,2819.500000,2819.500000,300590
2019-05-24,2821.750000,2842.000000,2819.250000,2831.750000,2831.750000,175700
2019-05-26,null,null,null,null,null,null
2019-05-28,2831.000000,2841.250000,2800.500000,2805.000000,2805.000000,211121
2019-05-29,2802.000000,2806.250000,2766.250000,2780.000000,2780.000000,300492
2019-05-30,2780.500000,2799.250000,2776.500000,2790.500000,2790.500000,200684
2019-05-31,2790.000000,2791.000000,2750.000000,2752.500000,2752.500000,327277
2019-06-02,null,null,null,null,null,null
2019-06-03,2742.250000,2763.750000,2728.750000,2749.500000,2749.500000,416559
2019-06-04,2753.000000,2807.000000,2744.000000,2805.000000,2805.000000,266160
2019-06-05,2805.750000,2829.750000,2800.750000,2827.750000,2827.750000,308867
2019-06-06,2823.250000,2853.250000,2812.750000,2845.750000,2845.750000,260902
2019-06-07,2840.750000,2886.250000,2837.750000,2875.000000,2875.000000,230882
2019-06-09,null,null,null,null,null,null
2019-06-10,2891.000000,2905.750000,2880.500000,2889.250000,2889.250000,166943
2019-06-11,2890.000000,2911.500000,2879.250000,2887.000000,2887.000000,224585
2019-06-12,2886.000000,2890.750000,2875.250000,2881.000000,2881.000000,170033
2019-06-13,2881.750000,2896.500000,2867.500000,2894.500000,2894.500000,200890
2019-06-14,2893.250000,2898.750000,2880.500000,2890.500000,2890.500000,82327
2019-06-16,null,null,null,null,null,null
2019-06-17,2890.500000,2900.500000,2887.500000,2892.000000,2892.000000,19085
2019-06-18,2894.000000,2931.750000,2884.500000,2921.750000,2921.750000,18230
2019-06-19,2921.250000,2932.250000,2910.750000,2929.000000,2929.000000,14448
