Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,26499.000000,26499.000000,26499.000000,26499.000000,26499.000000,24897
2019-05-05,null,null,null,null,null,null
2019-05-06,26499.000000,26499.000000,25936.000000,26405.000000,26405.000000,24897
2019-05-07,26225.000000,26393.000000,25753.000000,25973.000000,25973.000000,61855
2019-05-08,25970.000000,26077.000000,25798.000000,26014.000000,26014.000000,60158
2019-05-09,25977.000000,25995.000000,25501.000000,25816.000000,25816.000000,80279
2019-05-10,25788.000000,26015.000000,25463.000000,25964.000000,25964.000000,78676
2019-05-12,null,null,null,null,null,null
2019-05-13,25765.000000,25814.000000,25214.000000,25281.000000,25281.000000,59506
2019-05-14,25296.000000,25677.000000,25219.000000,25570.000000,25570.000000,42842
2019-05-15,25582.000000,25714.000000,25326.000000,25674.000000,25674.000000,53380
2019-05-16,25659.000000,25954.000000,25555.000000,25867.000000,25867.000000,41313
2019-05-17,25878.000000,25948.000000,25628.000000,25780.000000,25780.000000,40515
2019-05-19,null,null,null,null,null,null
2019-05-20,25766.000000,25901.000000,25554.000000,25696.000000,25696.000000,40032
2019-05-21,25724.000000,25895.000000,25711.000000,25875.000000,25875.000000,31146
2019-05-22,25863.000000,25906.000000,25733.000000,25771.000000,25771.000000,34393
2019-05-23,25769.000000,25781.000000,25321.000000,25463.000000,25463.000000,53986
2019-05-24,25489.000000,25663.000000,25458.000000,25620.000000,25620.000000,32420
2019-05-26,null,null,null,null,null,null
2019-05-28,25609.000000,25717.000000,25330.000000,25369.000000,25369.000000,43554
2019-05-29,25353.000000,25376.000000,24938.000000,25109.000000,25109.000000,59369
2019-05-30,25108.000000,25216.000000,25058.000000,25190.000000,25190.000000,41275
2019-05-31,25182.000000,25191.000000,24788.000000,24820.000000,24820.000000,63169
2019-06-02,null,null,null,null,null,null
2019-06-03,24745.000000,24937.000000,24610.000000,24869.000000,24869.000000,84974
2019-06-04,24913.000000,25366.000000,24826.000000,25346.000000,25346.000000,58432
2019-06-05,25351.000000,25572.000000,25344.000000,25558.000000,25558.000000,56634
2019-06-06,25550.000000,25807.000000,25438.000000,25745.000000,25745.000000,47377
2019-06-07,25704.000000,26084.000000,25683.000000,26007.000000,26007.000000,32348
2019-06-09,null,null,null,null,null,null
2019-06-10,26109.000000,26281.000000,26048.000000,26086.000000,26086.000000,28895
2019-06-11,26099.000000,26262.000000,26009.000000,26065.000000,26065.000000,31609
2019-06-12,26070.000000,26100.000000,25962.000000,26012.000000,26012.000000,27775
2019-06-13,26018.000000,26153.000000,25891.000000,26117.000000,26117.000000,31502
2019-06-14,26134.000000,26176.000000,25996.000000,26123.000000,26123.000000,17532
2019-06-16,null,null,null,null,null,null
2019-06-17,26137.000000,26208.000000,26057.000000,26131.000000,26131.000000,2694
2019-06-18,26146.000000,26541.000000,26078.000000,26495.000000,26495.000000,3035
2019-06-19,26474.000000,26571.000000,26423.000000,26529.000000,26529.000000,1405
2019-06-20,26525.000000,26797.000000,26520.000000,26763.000000,26763.000000,1123
2019-06-21,26742.000000,26770.000000,26670.000000,26745.599609,26745.599609,50186
2019-06-23,null,null,null,null,null,null
2019-06-24,26676.000000,26815.000000,26671.000000,26762.000000,26762.000000,26616
2019-06-25,26751.000000,26825.000000,26537.000000,26562.000000,26562.000000,56263
2019-06-26,26558.000000,26703.000000,26509.000000,26550.000000,26550.000000,41676
2019-06-27,26523.000000,26665.000000,26446.000000,26546.000000,26546.000000,39574
2019-06-28,26576.000000,26672.000000,26522.000000,26593.000000,26593.000000,31599
2019-06-30,null,null,null,null,null,null
2019-07-01,26757.000000,26900.000000,26609.000000,26700.000000,26700.000000,58094
2019-07-02,26696.000000,26806.000000,26621.000000,26797.000000,26797.000000,39338
2019-07-03,null,null,null,null,null,null
2019-07-05,26952.000000,27005.000000,26729.000000,26885.000000,26885.000000,45305
2019-07-07,null,null,null,null,null,null
2019-07-08,26900.000000,26929.000000,26742.000000,26793.000000,26793.000000,29714
2019-07-09,26781.000000,26807.000000,26657.000000,26779.000000,26779.000000,44151
2019-07-10,26763.000000,26984.000000,26689.000000,26860.000000,26860.000000,58627
2019-07-11,26856.000000,27092.000000,26853.000000,27077.000000,27077.000000,52515
2019-07-12,27074.000000,27328.000000,27071.000000,27309.000000,27309.000000,41333
2019-07-14,null,null,null,null,null,null
2019-07-15,27304.000000,27397.000000,27263.000000,27342.000000,27342.000000,34074
2019-07-16,27338.000000,27397.000000,27279.000000,27328.000000,27328.000000,41640
2019-07-17,27279.000000,27375.000000,27181.000000,27231.000000,27231.000000,43440
2019-07-18,27173.000000,27302.000000,27059.000000,27201.000000,27201.000000,63176
2019-07-19,27307.000000,27401.000000,27071.000000,27130.000000,27130.000000,66985
2019-07-21,null,null,null,null,null,null
2019-07-22,27079.000000,27215.000000,27076.000000,27176.000000,27176.000000,52079
2019-07-23,27174.000000,27358.000000,27162.000000,27324.000000,27324.000000,52544
2019-07-24,27309.000000,27346.000000,27176.000000,27237.000000,27237.000000,50083
2019-07-25,27242.000000,27349.000000,27039.000000,27096.000000,27096.000000,69499
2019-07-26,27088.000000,27192.000000,27076.000000,27149.000000,27149.000000,37782
2019-07-28,null,null,null,null,null,null
2019-07-29,27143.000000,27254.000000,27112.000000,27198.000000,27198.000000,35634
2019-07-30,27212.000000,27251.000000,27042.000000,27164.000000,27164.000000,45951
2019-07-31,27199.000000,27257.000000,26695.000000,26855.000000,26855.000000,83674
2019-08-01,26784.000000,27148.000000,26511.000000,26543.000000,26543.000000,161952
2019-08-02,26533.000000,26664.000000,26210.000000,26449.000000,26449.000000,117701
2019-08-04,null,null,null,null,null,null
2019-08-05,26410.000000,26460.000000,25475.000000,25550.000000,25550.000000,111075
2019-08-06,25519.000000,25998.000000,25034.000000,25924.000000,25924.000000,101140
2019-08-07,25914.000000,26033.000000,25390.000000,25940.000000,25940.000000,120961
2019-08-08,25931.000000,26373.000000,25847.000000,26365.000000,26365.000000,67837
2019-08-09,26321.000000,26394.000000,26075.000000,26268.000000,26268.000000,82686
2019-08-11,null,null,null,null,null,null
2019-08-12,26276.000000,26353.000000,25802.000000,25867.000000,25867.000000,71868
2019-08-13,25900.000000,26408.000000,25751.000000,26314.000000,26314.000000,86359
2019-08-14,26311.000000,26347.000000,25411.000000,25455.000000,25455.000000,79880
2019-08-15,25390.000000,25706.000000,25228.000000,25575.000000,25575.000000,113887
2019-08-16,25598.000000,25930.000000,25576.000000,25907.000000,25907.000000,48675
2019-08-18,null,null,null,null,null,null
2019-08-19,25927.000000,26237.000000,25920.000000,26118.000000,26118.000000,28462
2019-08-20,26121.000000,26197.000000,25882.000000,25931.000000,25931.000000,31415
2019-08-21,25902.000000,26267.000000,25875.000000,26226.000000,26226.000000,26890
2019-08-22,26259.000000,26375.000000,26086.000000,26225.000000,26225.000000,38806
2019-08-23,26215.000000,26349.000000,25492.000000,25670.000000,25670.000000,92085
2019-08-25,null,null,null,null,null,null
2019-08-26,25507.000000,25984.000000,25269.000000,25943.000000,25943.000000,59403
2019-08-27,25924.000000,26065.000000,25712.000000,25744.000000,25744.000000,49237
2019-08-28,25772.000000,26044.000000,25620.000000,26037.000000,26037.000000,46912
2019-08-29,25963.000000,26407.000000,25930.000000,26378.000000,26378.000000,36538
2019-08-30,26349.000000,26559.000000,26298.000000,26406.000000,26406.000000,37807
2019-09-01,null,null,null,null,null,null
2019-09-03,26319.000000,26371.000000,25977.000000,26122.000000,26122.000000,54615
2019-09-04,26097.000000,26390.000000,26085.000000,26372.000000,26372.000000,28208
2019-09-05,26370.000000,26845.000000,26354.000000,26701.000000,26701.000000,36507
2019-09-06,26695.000000,26867.000000,26662.000000,26808.000000,26808.000000,28761
2019-09-08,null,null,null,null,null,null
2019-09-09,26817.000000,26914.000000,26773.000000,26840.000000,26840.000000,25005
2019-09-10,26842.000000,26923.000000,26723.000000,26894.000000,26894.000000,38957
2019-09-11,26905.000000,27170.000000,26849.000000,27144.000000,27144.000000,35235
2019-09-12,27142.000000,27319.000000,27110.000000,27198.000000,27198.000000,55081
2019-09-13,27193.000000,27323.000000,27193.000000,27218.000000,27218.000000,7833
2019-09-15,null,null,null,null,null,null
2019-09-16,27145.000000,27178.000000,27015.000000,27084.000000,27084.000000,5391
2019-09-17,27127.000000,27139.000000,26989.000000,27114.000000,27114.000000,4038
2019-09-18,27142.000000,27184.000000,26909.000000,27148.000000,27148.000000,3708
2019-09-19,27150.000000,27272.000000,27007.000000,27086.000000,27086.000000,2791
2019-09-20,27102.000000,27213.000000,27085.000000,27140.900391,27140.900391,51015
2019-09-22,null,null,null,null,null,null
2019-09-23,26911.000000,27045.000000,26803.000000,26963.000000,26963.000000,35436
2019-09-24,27013.000000,27103.000000,26685.000000,26818.000000,26818.000000,72915
2019-09-25,26844.000000,27002.000000,26714.000000,26958.000000,26958.000000,56309
2019-09-26,26969.000000,27042.000000,26782.000000,26892.000000,26892.000000,51294
2019-09-27,26888.000000,26991.000000,26689.000000,26796.000000,26796.000000,60698
2019-09-29,null,null,null,null,null,null
2019-09-30,26880.000000,26969.000000,26806.000000,26901.000000,26901.000000,43624
2019-10-01,26966.000000,27040.000000,26515.000000,26521.000000,26521.000000,68123
2019-10-02,26556.000000,26616.000000,25931.000000,25985.000000,25985.000000,80057
2019-10-03,26020.000000,26184.000000,25703.000000,26180.000000,26180.000000,89707
2019-10-04,26170.000000,26548.000000,25977.000000,26525.000000,26525.000000,55989
2019-10-06,null,null,null,null,null,null
2019-10-07,26380.000000,26616.000000,26333.000000,26439.000000,26439.000000,47976
2019-10-08,26421.000000,26549.000000,26093.000000,26138.000000,26138.000000,76561
2019-10-09,26137.000000,26401.000000,26085.000000,26305.000000,26305.000000,52558
2019-10-10,26331.000000,26597.000000,25980.000000,26484.000000,26484.000000,75353
2019-10-11,26562.000000,26974.000000,26498.000000,26775.000000,26775.000000,76035
2019-10-13,null,null,null,null,null,null
2019-10-14,26772.000000,26894.000000,26636.000000,26746.000000,26746.000000,34428
2019-10-15,26748.000000,27078.000000,26747.000000,27002.000000,27002.000000,42726
2019-10-16,27016.000000,27016.000000,26891.000000,26940.000000,26940.000000,37352
2019-10-17,26955.000000,27088.000000,26876.000000,26993.000000,26993.000000,41071
2019-10-18,27001.000000,27023.000000,26727.000000,26754.000000,26754.000000,38398
2019-10-20,null,null,null,null,null,null
2019-10-21,26726.000000,26836.000000,26704.000000,26797.000000,26797.000000,36977
2019-10-22,26799.000000,26906.000000,26715.000000,26763.000000,26763.000000,40554
2019-10-23,26739.000000,26852.000000,26588.000000,26802.000000,26802.000000,45368
2019-10-24,26804.000000,26871.000000,26660.000000,26780.000000,26780.000000,44631
2019-10-25,26759.000000,26967.000000,26711.000000,26904.000000,26904.000000,37344
2019-10-27,null,null,null,null,null,null
2019-10-28,26930.000000,27119.000000,26925.000000,27053.000000,27053.000000,34743
2019-10-29,27052.000000,27111.000000,26967.000000,27042.000000,27042.000000,39322
2019-10-30,27043.000000,27234.000000,26941.000000,27132.000000,27132.000000,47214
2019-10-31,27175.000000,27175.000000,26846.000000,26982.000000,26982.000000,58560
2019-11-01,26982.000000,27280.000000,26957.000000,27259.000000,27259.000000,38962
2019-11-03,null,null,null,null,null,null
2019-11-04,27287.000000,27450.000000,27280.000000,27380.000000,27380.000000,36050
2019-11-05,27371.000000,27494.000000,27367.000000,27421.000000,27421.000000,35021
2019-11-06,27412.000000,27469.000000,27341.000000,27430.000000,27430.000000,40110
2019-11-07,27440.000000,27738.000000,27391.000000,27667.000000,27667.000000,37231
2019-11-08,27678.000000,27714.000000,27542.000000,27631.000000,27631.000000,28755
2019-11-10,null,null,null,null,null,null
2019-11-11,27614.000000,27674.000000,27471.000000,27658.000000,27658.000000,28005
2019-11-12,27666.000000,27731.000000,27594.000000,27663.000000,27663.000000,32092
2019-11-13,27636.000000,27773.000000,27524.000000,27761.000000,27761.000000,37370
2019-11-14,27765.000000,27806.000000,27633.000000,27746.000000,27746.000000,35175
2019-11-15,27746.000000,27971.000000,27737.000000,27953.000000,27953.000000,33931
2019-11-17,null,null,null,null,null,null
2019-11-18,27960.000000,28058.000000,27926.000000,28008.000000,28008.000000,26485
2019-11-19,28006.000000,28129.000000,27852.000000,27895.000000,27895.000000,34665
2019-11-20,27880.000000,27880.000000,27643.000000,27800.000000,27800.000000,40923
2019-11-21,27754.000000,27845.000000,27654.000000,27748.000000,27748.000000,35875
2019-11-22,27749.000000,27868.000000,27722.000000,27862.000000,27862.000000,28372
2019-11-24,null,null,null,null,null,null
2019-11-25,27911.000000,28044.000000,27903.000000,28039.000000,28039.000000,19352
2019-11-26,28022.000000,28150.000000,27997.000000,28130.000000,28130.000000,24011
2019-11-27,28125.000000,28172.000000,28057.000000,28148.000000,28148.000000,22408
2019-11-29,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2019-12-02,28087.000000,28197.000000,27760.000000,27789.000000,27789.000000,53401
2019-12-03,27779.000000,27846.000000,27311.000000,27487.000000,27487.000000,62891
2019-12-04,27479.000000,27726.000000,27398.000000,27643.000000,27643.000000,40843
2019-12-05,27645.000000,27775.000000,27558.000000,27678.000000,27678.000000,37995
2019-12-06,27692.000000,28039.000000,27676.000000,28014.000000,28014.000000,33094
2019-12-08,null,null,null,null,null,null
2019-12-09,28024.000000,28051.000000,27878.000000,27902.000000,27902.000000,21032
2019-12-10,27899.000000,27961.000000,27726.000000,27921.000000,27921.000000,36162
2019-12-11,27920.000000,27980.000000,27804.000000,27924.000000,27924.000000,29880
2019-12-12,27925.000000,28239.000000,27857.000000,28131.000000,28131.000000,57507
