Date,Open,High,Low,Close,Adj Close,Volume
2002-06-17,3.520000,3.540000,3.420000,3.447000,3.447000,455
2002-06-18,3.390000,3.475000,3.370000,3.385000,3.385000,0
2002-06-19,3.395000,3.475000,3.355000,3.390000,3.390000,699
2002-06-20,3.430000,3.440000,3.230000,3.275000,3.275000,517
2002-06-21,3.290000,3.305000,3.220000,3.295000,3.295000,283
2002-06-23,null,null,null,null,null,null
2002-06-24,3.380000,3.525000,3.380000,3.460000,3.460000,821
2002-06-25,3.580000,3.595000,3.490000,3.495000,3.495000,739
2002-06-26,3.435000,3.460000,3.295000,3.350000,3.350000,445
2002-06-27,3.315000,3.315000,3.215000,3.236000,3.236000,615
2002-06-28,3.315000,3.270000,3.225000,3.245000,3.245000,327
2002-06-30,null,null,null,null,null,null
2002-07-01,3.275000,3.285000,3.190000,3.192000,3.192000,610
2002-07-02,3.175000,3.190000,3.125000,3.145000,3.145000,698
2002-07-03,3.145000,3.165000,3.130000,3.142000,3.142000,246
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-07,null,null,null,null,null,null
2002-07-08,3.060000,3.060000,2.920000,2.939000,2.939000,985
2002-07-09,2.935000,3.005000,2.935000,2.991000,2.991000,1050
2002-07-10,3.030000,3.080000,2.845000,2.864000,2.864000,1846
2002-07-11,3.030000,2.870000,2.775000,2.830000,2.830000,1171
2002-07-12,2.890000,2.900000,2.775000,2.787000,2.787000,621
2002-07-14,null,null,null,null,null,null
2002-07-15,2.800000,2.860000,2.765000,2.784000,2.784000,641
2002-07-16,2.865000,2.920000,2.835000,2.863000,2.863000,860
2002-07-17,2.890000,2.945000,2.785000,2.841000,2.841000,1023
2002-07-18,2.830000,2.970000,2.790000,2.943000,2.943000,770
2002-07-19,2.830000,2.995000,2.830000,2.933000,2.933000,557
2002-07-21,null,null,null,null,null,null
2002-07-22,2.990000,3.000000,2.870000,2.947000,2.947000,612
2002-07-23,2.990000,2.965000,2.880000,2.889000,2.889000,337
2002-07-24,2.850000,3.050000,2.820000,3.042000,3.042000,669
2002-07-25,3.190000,3.190000,2.875000,2.902000,2.902000,612
2002-07-26,2.885000,2.940000,2.870000,2.936000,2.936000,425
2002-07-28,null,null,null,null,null,null
2002-07-29,2.950000,3.085000,2.950000,2.976000,2.976000,509
2002-07-30,2.880000,2.930000,2.855000,2.891000,2.891000,744
