Date,Open,High,Low,Close,Adj Close,Volume
2000-09-21,98.125000,98.500000,98.093803,98.468803,98.468803,45131
2000-09-22,98.093803,98.156197,98.062500,98.125000,98.125000,36588
2000-09-24,null,null,null,null,null,null
2000-09-25,98.343803,98.406197,98.343803,98.375000,98.375000,38899
2000-09-26,98.781197,98.843803,98.750000,98.843803,98.843803,66654
2000-09-27,98.343803,98.375000,98.312500,98.375000,98.375000,34663
2000-09-28,98.531197,98.593803,98.468803,98.562500,98.562500,41809
2000-09-29,98.687500,98.687500,98.562500,98.625000,98.625000,35290
2000-10-01,null,null,null,null,null,null
2000-10-02,98.125000,98.187500,98.062500,98.187500,98.187500,46915
2000-10-03,97.875000,98.062500,97.843803,97.906197,97.906197,53638
2000-10-04,97.843803,97.906197,97.812500,97.875000,97.875000,43379
2000-10-05,98.250000,98.375000,98.250000,98.375000,98.375000,65873
2000-10-06,99.156197,99.156197,99.031197,99.093803,99.093803,65873
2000-10-08,null,null,null,null,null,null
2000-10-09,99.156197,99.156197,99.031197,98.875000,98.875000,40254
2000-10-10,99.187500,99.406197,99.125000,99.375000,99.375000,71280
2000-10-11,99.312500,99.343803,99.187500,99.250000,99.250000,65035
2000-10-12,99.093803,99.750000,98.937500,99.531197,99.531197,53388
2000-10-13,99.531197,99.812500,99.156197,99.437500,99.437500,32274
2000-10-15,null,null,null,null,null,null
2000-10-16,99.375000,99.500000,99.156197,99.375000,99.375000,56433
2000-10-17,99.343803,100.155998,99.218803,100.030998,100.030998,68630
2000-10-18,100.094002,100.875000,99.875000,100.000000,100.000000,40424
2000-10-19,99.937500,100.594002,99.781197,100.311996,100.311996,29068
2000-10-20,100.250000,100.844002,100.155998,100.655998,100.655998,46736
2000-10-22,null,null,null,null,null,null
2000-10-23,100.655998,101.311996,100.500000,101.219002,101.219002,51739
2000-10-24,101.219002,101.250000,100.594002,100.811996,100.811996,52130
2000-10-25,100.905998,101.125000,100.155998,100.344002,100.344002,82379
2000-10-26,100.311996,101.344002,100.188004,100.500000,100.500000,33558
2000-10-27,100.500000,100.844002,100.125000,100.438004,100.438004,27608
2000-10-29,null,null,null,null,null,null
2000-10-30,100.405998,100.561996,100.188004,100.250000,100.250000,44970
2000-10-31,100.344002,100.655998,99.750000,99.781197,99.781197,51447
2000-11-01,99.843803,100.155998,99.531197,100.030998,100.030998,27870
2000-11-02,100.000000,100.188004,99.843803,99.937500,99.937500,59178
2000-11-03,99.875000,100.188004,99.000000,99.093803,99.093803,39354
2000-11-05,null,null,null,null,null,null
2000-11-06,99.031197,99.156197,98.500000,98.750000,98.750000,36908
2000-11-07,98.875000,99.000000,98.468803,98.781197,98.781197,86321
2000-11-08,99.000000,99.718803,98.187500,99.125000,99.125000,68472
2000-11-09,99.125000,99.812500,99.093803,99.281197,99.281197,33499
2000-11-10,99.281197,99.562500,99.031197,99.312500,99.312500,40059
2000-11-12,null,null,null,null,null,null
2000-11-13,99.437500,99.843803,99.343803,99.656197,99.656197,43624
2000-11-14,99.625000,100.061996,99.218803,99.968803,99.968803,48526
