Date,Open,High,Low,Close,Adj Close,Volume
2000-09-21,100.188004,100.469002,100.171997,100.421997,100.421997,10742
2000-09-22,100.296997,100.328003,100.280998,100.280998,100.280998,6092
2000-09-24,null,null,null,null,null,null
2000-09-25,100.296997,100.328003,100.296997,100.296997,100.296997,6359
2000-09-26,100.438004,100.500000,100.421997,100.484001,100.484001,8689
2000-09-27,100.469002,100.484001,100.453003,100.469002,100.469002,12359
2000-09-28,100.438004,100.500000,100.405998,100.484001,100.484001,8047
2000-09-29,100.609001,100.609001,100.530998,100.594002,100.594002,3702
2000-10-01,null,null,null,null,null,null
2000-10-02,100.594002,100.609001,100.578003,100.609001,100.609001,10461
2000-10-03,100.469002,100.546997,100.438004,100.453003,100.453003,7053
2000-10-04,100.296997,100.328003,100.296997,100.328003,100.328003,4643
2000-10-05,100.421997,100.453003,100.421997,100.438004,100.438004,11775
2000-10-06,100.671997,100.688004,100.609001,100.609001,100.609001,11775
2000-10-08,null,null,null,null,null,null
2000-10-09,100.671997,100.688004,100.609001,100.484001,100.484001,12494
2000-10-10,100.578003,100.703003,100.546997,100.655998,100.655998,21819
2000-10-11,100.750000,100.765999,100.688004,100.703003,100.703003,13980
2000-10-12,100.640999,101.125000,100.546997,101.125000,101.125000,14624
2000-10-13,101.094002,101.265999,100.938004,101.000000,101.000000,10929
2000-10-15,null,null,null,null,null,null
2000-10-16,100.984001,101.000000,100.780998,100.921997,100.921997,19475
2000-10-17,100.890999,101.265999,100.811996,101.155998,101.155998,15143
2000-10-18,101.188004,101.765999,101.094002,101.188004,101.188004,16612
2000-10-19,101.155998,101.359001,100.984001,101.203003,101.203003,11115
2000-10-20,101.155998,101.311996,101.125000,101.280998,101.280998,7871
2000-10-22,null,null,null,null,null,null
2000-10-23,101.280998,101.421997,101.234001,101.390999,101.390999,14075
2000-10-24,101.390999,101.405998,101.094002,101.250000,101.250000,17219
2000-10-25,101.311996,101.438004,100.969002,101.015999,101.015999,12937
2000-10-26,101.015999,101.171997,100.921997,100.969002,100.969002,10781
2000-10-27,100.921997,101.046997,100.765999,100.811996,100.811996,4798
2000-10-29,null,null,null,null,null,null
2000-10-30,100.796997,100.938004,100.703003,100.703003,100.703003,7205
2000-10-31,100.734001,100.875000,100.625000,100.719002,100.719002,10032
2000-11-01,100.734001,100.859001,100.734001,100.828003,100.828003,10475
2000-11-02,100.828003,101.000000,100.828003,100.875000,100.875000,6929
2000-11-03,100.875000,100.953003,100.500000,100.500000,100.500000,10042
2000-11-05,null,null,null,null,null,null
2000-11-06,100.500000,100.578003,100.280998,100.344002,100.344002,13444
2000-11-07,100.375000,100.500000,100.265999,100.359001,100.359001,10412
2000-11-08,100.500000,100.688004,100.250000,100.405998,100.405998,13619
2000-11-09,100.438004,100.780998,100.405998,100.561996,100.561996,9405
2000-11-10,100.561996,100.750000,100.546997,100.703003,100.703003,10591
2000-11-12,null,null,null,null,null,null
2000-11-13,100.780998,100.984001,100.719002,100.796997,100.796997,12495
2000-11-14,100.780998,100.811996,100.594002,100.796997,100.796997,8749
2000-11-15,100.734001,100.938004,100.719002,100.905998,100.905998,8672
2000-11-16,100.921997,101.109001,100.859001,101.109001,101.109001,9656
2000-11-17,101.046997,101.125000,100.921997,100.953003,100.953003,6012
2000-11-19,null,null,null,null,null,null
2000-11-20,100.905998,101.109001,100.905998,101.094002,101.094002,6259
2000-11-21,101.061996,101.109001,100.969002,101.109001,101.109001,10072
2000-11-22,101.094002,101.344002,101.078003,101.296997,101.296997,10596
2000-11-23,null,null,null,null,null,null
2000-11-24,101.155998,101.188004,101.094002,101.125000,101.125000,9539
2000-11-26,null,null,null,null,null,null
2000-11-27,101.094002,101.171997,100.938004,101.171997,101.171997,17672
2000-11-28,101.140999,101.453003,101.125000,101.421997,101.421997,8395
2000-11-29,101.390999,101.765999,101.375000,101.765999,101.765999,3239
2000-11-30,101.719002,102.094002,101.719002,101.938004,101.938004,532
2000-12-01,101.780998,101.984001,101.719002,101.984001,101.984001,1905
2000-12-03,null,null,null,null,null,null
2000-12-04,101.890999,101.969002,101.734001,101.811996,101.811996,1983
2000-12-05,101.796997,102.234001,101.780998,102.125000,102.125000,1983
